city,place_name,category,monthly_visitors,latitude,longitude,type,best_time_to_visit,historical_rainfall,temperature_trend
Mumbai,Marine Drive,Scenic,150000,18.9750,72.8258,Waterfront,Oct-Mar,2500,25-35
Mumbai,Elephanta Caves,Historical,80000,18.9633,72.9315,Monument,Oct-Mar,2500,25-35
Mumbai,Colaba Causeway,Shopping,200000,18.9147,72.8317,Market,Oct-Mar,2500,25-35
Mumbai,Sanjay Gandhi National Park,Nature,120000,19.2147,72.9106,National Park,Oct-Mar,2500,25-35
Mumbai,Chhatrapati Shivaji Terminus,Historical,180000,18.9398,72.8354,Monument,Oct-Mar,2500,25-35
Mumbai,Juhu Beach,Scenic,250000,19.0997,72.8347,Beach,Oct-Mar,2500,25-35
Mumbai,Haji Ali Dargah,Religious,150000,18.9829,72.8114,Temple,Oct-Mar,2500,25-35
Mumbai,National Museum,Historical,60000,18.9276,72.8319,Museum,Oct-Mar,2500,25-35
Mumbai,Essel World,Entertainment,100000,19.2147,72.8106,Theme Park,Oct-Mar,2500,25-35
Mumbai,Nehru Planetarium,Educational,40000,19.0147,72.8319,Science Center,Oct-Mar,2500,25-35
Mumbai,Global Vipassana Pagoda,Religious,70000,19.2147,72.8106,Temple,Oct-Mar,2500,25-35
Mumbai,Dr. Bhau Daji Lad Museum,Historical,30000,19.0147,72.8319,Museum,Oct-Mar,2500,25-35
Delhi,Red Fort,Historical,200000,28.6562,77.2410,Monument,Oct-Mar,800,15-40
Delhi,Qutub Minar,Historical,180000,28.5245,77.1855,Monument,Oct-Mar,800,15-40
Delhi,India Gate,Historical,250000,28.6129,77.2295,Monument,Oct-Mar,800,15-40
Delhi,Lotus Temple,Religious,150000,28.5535,77.2588,Temple,Oct-Mar,800,15-40
Delhi,Humayun's Tomb,Historical,120000,28.5931,77.2507,Monument,Oct-Mar,800,15-40
Delhi,Chandni Chowk,Shopping,300000,28.6562,77.2310,Market,Oct-Mar,800,15-40
Delhi,Akshardham Temple,Religious,200000,28.6127,77.2773,Temple,Oct-Mar,800,15-40
Delhi,National Museum,Historical,80000,28.6116,77.2198,Museum,Oct-Mar,800,15-40
Delhi,Jama Masjid,Religious,150000,28.6507,77.2334,Mosque,Oct-Mar,800,15-40
Delhi,Rashtrapati Bhavan,Historical,50000,28.6143,77.1996,Government Building,Oct-Mar,800,15-40
Delhi,Garden of Five Senses,Nature,70000,28.5245,77.1855,Garden,Oct-Mar,800,15-40
Delhi,National Zoological Park,Nature,100000,28.6048,77.2435,Zoo,Oct-Mar,800,15-40
Kolkata,Victoria Memorial,Historical,150000,22.5448,88.3426,Monument,Oct-Mar,1800,20-35
Kolkata,Howrah Bridge,Historical,200000,22.5958,88.3376,Monument,Oct-Mar,1800,20-35
Kolkata,Dakshineswar Kali Temple,Religious,180000,22.6548,88.3576,Temple,Oct-Mar,1800,20-35
Kolkata,Indian Museum,Historical,80000,22.5587,88.3509,Museum,Oct-Mar,1800,20-35
Kolkata,Science City,Educational,120000,22.5333,88.3333,Science Center,Oct-Mar,1800,20-35
Kolkata,New Market,Shopping,250000,22.5587,88.3509,Market,Oct-Mar,1800,20-35
